code_etablissement,ville,etablissement,commune,Matiere,Barre,effectif_presents_serie_l,effectif_presents_serie_es,effectif_presents_serie_s,taux_brut_de_reussite_serie_l,taux_brut_de_reussite_serie_es,taux_brut_de_reussite_serie_s,taux_reussite_attendu_serie_l,taux_reussite_attendu_serie_es,taux_reussite_attendu_serie_s,effectif_de_seconde,effectif_de_premiere,taux_acces_brut_seconde_bac,taux_acces_attendu_seconde_bac,taux_acces_brut_premiere_bac,taux_acces_attendu_premiere_bac,taux_brut_de_reussite_total_series,taux_reussite_attendu_total_series
0910623H,ATHIS MONS,LYCEE MARCEL PAGNOL,91027,BIOCH.BIOL,110,25,69,85,92,90,82,88,90,87,332,333,66,67,81,81,84,85
0910623H,ATHIS MONS,LYCEE MARCEL PAGNOL,91027,ECO.GE.MK,147.2,25,69,85,92,90,82,88,90,87,332,333,66,67,81,81,84,85
0910625K,MONTGERON,LYCEE ROSA PARKS,91421,ALLEMAND,396.2,102,133,229,82,92,79,91,89,86,764,691,75,69,85,85,83,87
0910625K,MONTGERON,LYCEE ROSA PARKS,91421,SC.ECO.SOC,108,102,133,229,82,92,79,91,89,86,764,691,75,69,85,85,83,87
0910625K,MONTGERON,LYCEE ROSA PARKS,91421,ESPAGNOL,161,102,133,229,82,92,79,91,89,86,764,691,75,69,85,85,83,87
0910625K,MONTGERON,LYCEE ROSA PARKS,91421,HIST. GEO.,209,102,133,229,82,92,79,91,89,86,764,691,75,69,85,85,83,87
0910625K,MONTGERON,LYCEE ROSA PARKS,91421,ECO.GE.FIN,1880.2,102,133,229,82,92,79,91,89,86,764,691,75,69,85,85,83,87
0910625K,MONTGERON,LYCEE ROSA PARKS,91421,S. V. T.,111,102,133,229,82,92,79,91,89,86,764,691,75,69,85,85,83,87
0910625K,MONTGERON,LYCEE ROSA PARKS,91421,ANGLAIS,111,102,133,229,82,92,79,91,89,86,764,691,75,69,85,85,83,87
0910625K,MONTGERON,LYCEE ROSA PARKS,91421,LET MODERN,228,102,133,229,82,92,79,91,89,86,764,691,75,69,85,85,83,87
0910625K,MONTGERON,LYCEE ROSA PARKS,91421,MATHS,111,102,133,229,82,92,79,91,89,86,764,691,75,69,85,85,83,87
0910625K,MONTGERON,LYCEE ROSA PARKS,91421,PHY.CHIMIE,118,102,133,229,82,92,79,91,89,86,764,691,75,69,85,85,83,87
0910626L,ORSAY,LYCEE BLAISE PASCAL,91471,HIST. GEO.,516,26,67,206,96,100,98,98,98,98,354,308,83,83,94,94,98,98
0910626L,ORSAY,LYCEE BLAISE PASCAL,91471,MATHS,534.2,26,67,206,96,100,98,98,98,98,354,308,83,83,94,94,98,98
